stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
313,0,1,0,0,2.5,2.206897,2.176471,0.255845,2.421053,1.659794,-1.589946,7.095238,138816,126605
314,0,1,0,0,1.9,3.827586,1.529412,-0.656403,1.473684,1.823443,-0.693945,6.47619,139753,Q05415
315,0,1,0,0,3.1,3.137931,3.470588,2.080343,1.631579,1.915385,-0.190554,4.571429,139803,Y53722
316,0,1,0,0,2,3.37931,1.705882,-0.407608,2.105263,1.748005,-1.106981,6.761905,140306,X11717
317,0,1,1,0,2.433333,3.931034,1.588235,-0.573471,1.947368,2.22755,1.518592,7.52381,140567,G03557
318,0,1,0,0,2,3.448276,2.058824,0.089982,2.210526,2.03125,0.443824,6.666667,140612,C06442
319,0,1,0,0,2.566667,2.931034,1.588235,-0.573471,2,1.673267,-1.516177,6.52381,165805,112359
320,0,1,0,0,2.566667,2.689655,1.941176,-0.075881,1.684211,2.026254,0.416471,6.428571,165844,756004
321,0,1,0,0,3.266667,3.62069,1.235294,-1.071061,1.842105,1.785153,-0.903591,6,165945,480984
322,0,1,0,0,2.066667,3.344828,1.647059,-0.49054,2.105263,1.765141,-1.013159,6.809524,166547,88585
323,0,1,0,0,1.666667,3.448276,1.882353,-0.158813,1.894737,2.098014,0.809364,5.380952,167128,467839
324,0,1,0,0,2.8,3.517241,1.647059,-0.49054,1.631579,1.85786,-0.505511,5.52381,168018,785821
325,1,-1,0,0,2.275862,1.827586,7,1.475777,2.2,2.076008,0.118979,4.818182,218693,218693
326,1,-1,0,0,2.448276,2.172414,6.52381,0.764679,1.733333,2.355904,1.593905,6.909091,233984,233984
327,1,-1,0,0,3.034483,2.551724,6.619048,0.906898,3.4,2.006942,-0.24497,4.272727,268130,268130
328,1,-1,0,0,1.827586,2.137931,4.52381,-2.221936,2.533333,2.013949,-0.208046,5.909091,286020,286020
329,1,-1,0,0,3.275862,2.862069,6.333333,0.480239,2.6,2.047015,-0.033801,6.363636,286173,286173
330,1,-1,0,0,3.517241,3.137931,5.47619,-0.799739,2.933333,1.702247,-1.850574,4.681818,288322,288322
331,1,-1,0,0,3.344828,2.586207,6.47619,0.693569,3.466667,2.15942,0.558523,4.818182,300807,300807
332,1,-1,1,0,4.275862,3.551724,6.238095,0.338019,1.533333,2.033784,-0.103525,4.863636,309567,309567
333,1,-1,0,0,3.068966,2.482759,5.952381,-0.08864,4,2.284081,1.21543,4.681818,310094,310094
334,1,-1,0,0,3.172414,2.758621,6.190476,0.266909,2.2,2.096911,0.229128,4.181818,314648,314648
335,1,-1,0,0,2.482759,2.103448,5.285714,-1.084178,2.2,2.165385,0.589952,5.636364,318987,318987
336,1,-1,0,0,1.931034,1.827586,6.285714,0.409129,3.066667,2.061538,0.042729,5.636364,330290,330290
337,1,-1,1,0,3.793103,3.034483,6.095238,0.12469,3.8,2.550481,2.619236,3.136364,338043,338043
338,1,-1,1,0,3.482759,3.310345,6.047619,0.05358,2.8,1.859773,-1.020483,5.318182,347463,347463
339,1,-1,0,0,2.689655,2.862069,6.380952,0.551349,2.933333,2.307615,1.339441,5.681818,368527,368527
340,1,-1,0,0,3.310345,2.758621,6.619048,0.906898,3.133333,2.050316,-0.016406,5.545455,406356,406356
341,1,-1,0,0,2.931034,2.206897,6.190476,0.266909,2.866667,1.97111,-0.433789,5.909091,420481,420481
342,1,-1,0,0,3.896552,2.758621,5.52381,-0.728629,4.533333,2.079587,0.137835,3.045455,436687,436687
343,1,-1,1,0,3.896552,3.275862,6.571429,0.835788,4.4,2.384842,1.746392,4.772727,440701,440701
344,1,-1,0,0,2.758621,2.586207,6.285714,0.409129,4,1.962905,-0.477025,4.363636,444904,444904
345,1,-1,1,0,3.586207,2.62069,6.333333,0.480239,3.333333,2.289147,1.242122,4.772727,447891,447891
346,0,-1,0,0,3.37931,3.275862,6.047619,0.05358,3.666667,2.089041,0.187656,3.681818,314377,187861
347,0,-1,0,0,2.655172,2.586207,6.333333,0.480239,4.666667,2.048301,-0.027026,5.136364,334606,95699
348,0,-1,0,0,2.758621,2.586207,6.809524,1.191338,2.6,2.365942,1.646799,6.090909,361531,M09499
349,0,-1,0,0,3.793103,2.724138,5.952381,-0.08864,1.6,1.701753,-1.85318,5.409091,382710,94485
350,0,-1,0,0,3.965517,2.931034,6.666667,0.978008,1.733333,1.975222,-0.412121,5.636364,397205,715533
351,0,-1,0,0,2.758621,2.827586,6.142857,0.1958,2,2.113492,0.316501,5.545455,405001,220568
