stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
355,0,-1,0,0,3.07,2.21,6.24,0.34,1.47,2.03,-0.11,5.05,452938,460254
356,0,-1,0,0,3.55,2.59,6.1,0.12,1.93,2.05,-0.04,4.5,472575,82049
357,0,-1,0,0,2.86,2.9,6,-0.02,1.33,1.91,-0.76,5.68,488577,B01978
358,0,-1,0,0,1.66,2.76,3.76,-3.36,2.6,1.91,-0.76,5.5,524895,J03793
359,0,-1,0,0,3.07,2.59,7.24,1.83,1.13,2.09,0.19,5.59,539688,891678
360,0,-1,0,0,2.28,2.34,6.95,1.4,2.87,2.2,0.77,4.86,540231,92162
361,0,-1,1,0,3.79,2.83,5.9,-0.16,1.93,1.75,-1.59,5.59,585365,23970
362,0,-1,0,0,2.83,2.93,6.29,0.41,1.8,1.84,-1.14,4.45,603352,638947
363,0,-1,0,0,2.72,2.55,6.67,0.98,1.8,1.94,-0.62,4.41,608253,111761
364,0,-1,0,0,3.21,2.76,6.86,1.26,1.8,2.26,1.07,4.32,618834,126964
365,0,-1,0,0,3.45,2.79,6.95,1.4,2.33,1.9,-0.78,4.91,625721,124237
366,0,-1,1,0,3.83,3,6.48,0.69,1.8,1.85,-1.06,5.68,661810,58673
367,1,1,0,0,2.69,2.31,1.14,-1.2,2.21,2.25,1.64,5.45,216728,216728
368,1,1,1,0,2.21,2.03,1.29,-1,2.11,1.88,-0.36,6.91,220267,220267
369,1,1,0,0,3.41,2.86,1.76,-0.33,2.32,1.58,-2.03,7.32,226426,226426
370,1,1,1,0,2.59,2.86,1.29,-1,1.89,1.69,-1.4,7,256512,256512
371,1,1,1,0,2.17,2.31,1.33,-0.93,2.37,1.93,-0.11,7.05,282008,282008
372,1,1,0,0,2,2.38,1.29,-1,2.16,1.73,-1.21,6.14,287224,287224
373,1,1,0,0,3.21,3,1.19,-1.13,2,2.11,0.87,5.82,288500,288500
374,1,1,0,0,3.31,2.79,1.48,-0.73,2,1.89,-0.33,5.18,291140,291140
375,1,1,0,0,2.21,2.31,2.1,0.14,1.84,2.09,0.79,5.86,301898,301898
376,1,1,0,0,2.93,2.62,1.19,-1.13,1.53,2.01,0.35,4.95,309066,309066
377,1,1,0,0,3.03,2.69,1.43,-0.8,2.37,1.5,-2.47,6.32,311509,311509
378,1,1,0,0,3.79,3.34,1.05,-1.34,1.84,2.06,0.58,4.59,313067,313067
379,1,1,1,0,2.93,3.14,1.67,-0.46,1.53,1.65,-1.65,7.14,321031,321031
380,1,1,0,0,1.86,2.31,1.67,-0.46,1.37,1.84,-0.58,6.5,322534,322534
381,1,1,0,0,3,3.17,1.33,-0.93,2.74,1.78,-0.91,7.14,324170,324170
382,1,1,0,0,3.1,2.97,1.86,-0.19,1.68,1.8,-0.83,6.64,324342,324342
383,1,1,0,0,2.21,2.38,1.52,-0.66,1.74,2.01,0.34,6.45,335421,335421
384,1,1,0,0,1.97,2.14,1.29,-1,1.53,1.63,-1.77,6.55,349878,349878
385,1,1,0,0,2.76,2.52,1.29,-1,1.84,2.04,0.47,5.91,351997,351997
386,1,1,1,0,3.24,2.72,1.19,-1.13,2.58,1.91,-0.24,6.95,356054,356054
387,1,1,0,0,2,2.31,1.81,-0.26,1.58,2.05,0.55,6,358986,358986
388,1,1,0,0,2.07,2.31,1.95,-0.06,1.58,1.91,-0.21,5.64,375690,375690
389,1,1,0,0,2.24,2.41,1.14,-1.2,1.47,1.78,-0.96,6.18,379799,379799
390,1,1,0,0,1.76,2.34,2.76,1.08,1.58,1.99,0.23,6.05,391485,391485
391,1,1,0,0,2.52,2.83,3.19,1.69,1.79,2.05,0.53,5.23,406677,406677
392,1,1,0,0,1.93,2.17,1.24,-1.07,1.63,1.94,-0.04,6.32,442564,442564
393,1,1,0,0,3.93,3.62,2.1,0.14,2,1.62,-1.81,4.86,445903,445903
394,1,1,0,0,2.21,2.72,1.19,-1.13,1.89,1.9,-0.25,6.18,445904,445904
395,1,1,1,0,3.38,3.1,2.62,0.88,1.63,1.92,-0.19,6.23,450307,450307
396,1,1,0,0,3.31,3,1.24,-1.07,1.68,1.96,0.05,5.36,461776,461776
397,1,1,1,0,2.59,2.38,1.57,-0.6,1.74,1.88,-0.36,7.32,479701,479701
398,1,1,0,0,2.59,2.48,1.38,-0.87,1.95,1.96,0.06,5.59,479774,479774
399,1,1,0,0,3.45,3.1,1.29,-1,1.37,2.15,1.1,6.09,482053,482053
400,0,1,0,0,3,2.83,2.48,0.68,2.63,1.78,-0.93,4.41,169307,354952
401,0,1,0,0,1.86,3.38,1.48,-0.73,2.05,1.94,-0.05,6.55,169711,52575
402,0,1,0,0,4,3.62,1.48,-0.73,1.53,1.58,-2.05,7.09,181829,86447
403,0,1,0,1,3.24,2.93,1.24,-1.07,1.37,1.86,-0.5,6.55,181925,105168
404,0,1,0,0,2.21,2.14,2.9,1.28,1.58,2.24,1.57,5.23,184939,105619
